,mu,Rs,Rfp
0.0,0.40481394458108483,0.8096278891621697,0.009200316922297384
0.5,0.40481394327864006,0.8096278865572801,0.009200316892696365
1.0,0.4019997514224839,0.8039995028449678,0.3291449837762189
1.5,0.3943591706964582,0.7887183413929164,0.3612413292210666
2.0,0.38443649932795904,0.7688729986559181,0.37340534532895153
2.5,0.3734977974549104,0.7469955949098208,0.37979551765653424
3.0,0.3621552539964155,0.724310507992831,0.38372803220853524
3.5,0.35073209790183224,0.7014641958036645,0.38638769353222596
4.0,0.3394105971633074,0.6788211943266148,0.388303290280991
4.5,0.328297859001952,0.656595718003904,0.38974644202783176
5.0,0.3174580357280897,0.6349160714561795,0.39087098545746607
5.5,0.30692935450910713,0.6138587090182143,0.39177057993153375
6.0,0.29673373585313517,0.5934674717062703,0.39250550309653875
6.5,0.2868824933777712,0.5737649867555424,0.3931163057362036
7.0,0.2773798752483328,0.5547597504966656,0.3936312680701383
7.5,0.26822534174570606,0.5364506834914121,0.394070711241345
8.0,0.25941507293150984,0.5188301458630197,0.3944496110264838
8.5,0.25094299294843425,0.5018859858968685,0.39477924522439944
9.0,0.24280148147627423,0.48560296295254846,0.39506826716000654
9.5,0.23498187714844182,0.46996375429688364,0.3953234258056886
10.0,0.2274748381834151,0.4549496763668302,0.3955500613053669
